mlb_game_pk,date,game_date_time,away_team_id,away_team_name,away_score,home_team_id,home_team_name,home_score,venue,status
778399,2025-04-09,2025-04-09T23:05:00Z,108,Los Angeles Angels,4.0,139,Tampa Bay Rays,5.0,George M. Steinbrenner Field,Final
778393,2025-04-09,2025-04-09T23:15:00Z,143,Philadelphia Phillies,4.0,144,Atlanta Braves,3.0,Truist Park,Final
778388,2025-04-09,2025-04-09T23:40:00Z,142,Minnesota Twins,4.0,118,Kansas City Royals,0.0,Kauffman Stadium,Final
778379,2025-04-09,2025-04-10T00:40:00Z,158,Milwaukee Brewers,17.0,115,Colorado Rockies,2.0,Coors Field,Final
778382,2025-04-10,2025-04-10T17:10:00Z,108,Los Angeles Angels,11.0,139,Tampa Bay Rays,1.0,George M. Steinbrenner Field,Final
778378,2025-04-10,2025-04-10T17:10:00Z,145,Chicago White Sox,1.0,114,Cleveland Guardians,6.0,Progressive Field,Final
778373,2025-04-10,2025-04-10T18:10:00Z,142,Minnesota Twins,2.0,118,Kansas City Royals,3.0,Kauffman Stadium,Final
778371,2025-04-10,2025-04-10T19:10:00Z,158,Milwaukee Brewers,2.0,115,Colorado Rockies,7.0,Coors Field,Final
778377,2025-04-10,2025-04-10T20:10:00Z,141,Toronto Blue Jays,3.0,111,Boston Red Sox,4.0,Fenway Park,Final
778384,2025-04-10,2025-04-10T23:15:00Z,143,Philadelphia Phillies,2.0,144,Atlanta Braves,4.0,Truist Park,Final
778375,2025-04-11,2025-04-11T22:10:00Z,118,Kansas City Royals,0.0,114,Cleveland Guardians,7.0,Progressive Field,Final
778374,2025-04-11,2025-04-11T22:40:00Z,134,Pittsburgh Pirates,3.0,113,Cincinnati Reds,5.0,Great American Ball Park,Final
778367,2025-04-11,2025-04-11T23:05:00Z,144,Atlanta Braves,3.0,139,Tampa Bay Rays,6.0,George M. Steinbrenner Field,Final
778370,2025-04-11,2025-04-11T23:05:00Z,137,San Francisco Giants,9.0,147,New York Yankees,1.0,Yankee Stadium,Completed Early
778369,2025-04-11,2025-04-11T23:10:00Z,120,Washington Nationals,7.0,146,Miami Marlins,4.0,loanDepot park,Final
778366,2025-04-11,2025-04-11T23:40:00Z,111,Boston Red Sox,1.0,145,Chicago White Sox,11.0,Rate Field,Final
778368,2025-04-11,2025-04-12T00:10:00Z,108,Los Angeles Angels,3.0,117,Houston Astros,14.0,Daikin Park,Final
778363,2025-04-11,2025-04-12T00:10:00Z,116,Detroit Tigers,7.0,142,Minnesota Twins,6.0,Target Field,Final
