game_pk,home_bp_k_bb_ratio_rolling_5,away_bp_k_bb_ratio_rolling_5,home_bp_k_bb_ratio_rolling_10,away_bp_k_bb_ratio_rolling_10
565035,3.0,3.6,2.4210526315789473,2.176470588235294
565134,17.0,3.8,2.8,4.0
565232,6.25,1.588235294117647,3.727272727272727,1.7419354838709677
565326,1.75,5.5,1.7777777777777777,2.3529411764705883
565425,1.8,1.8571428571428572,1.7647058823529411,1.8461538461538463
565614,2.142857142857143,1.5,2.8333333333333335,2.5
565997,1.8571428571428572,2.0,1.6363636363636365,3.0625
566101,4.833333333333333,1.4,3.3333333333333335,1.7058823529411764
566191,2.0,2.5,3.3333333333333335,4.444444444444445
566289,5.333333333333333,2.3333333333333335,3.7,2.6153846153846154
566579,5.5,1.1764705882352942,3.357142857142857,1.9166666666666667
566679,2.6666666666666665,2.111111111111111,2.9047619047619047,1.9473684210526316
566875,5.0,2.5,3.9,3.4615384615384617
564748,2.5,1.6363636363636365,1.6216216216216217,2.2222222222222223
565036,2.8,1.9,2.35,1.8421052631578947
565135,8.5,3.0,2.5454545454545454,4.285714285714286
565233,2.125,1.588235294117647,2.8461538461538463,1.7
565615,2.2857142857142856,2.0,2.4545454545454546,2.0
566192,2.0,3.5,3.2,3.888888888888889
566384,3.6666666666666665,1.2727272727272727,2.4615384615384617,1.5
567071,2.142857142857143,4.0,2.7142857142857144,2.388888888888889
564842,3.5,3.8,3.7777777777777777,2.357142857142857
565616,2.0,4.666666666666667,2.272727272727273,2.076923076923077
565714,3.4285714285714284,2.4375,2.388888888888889,1.7714285714285714
565812,2.5714285714285716,2.2857142857142856,4.25,3.1818181818181817
565906,1.625,5.0,1.9230769230769231,3.4
565998,2.5,1.2857142857142858,1.8421052631578947,1.76
566385,2.8,1.4,2.2142857142857144,1.391304347826087
566481,3.5,1.4285714285714286,2.727272727272727,1.8421052631578947
566580,5.5,2.142857142857143,3.4,3.3636363636363638
566876,1.7777777777777777,3.5,2.4285714285714284,3.125
566972,1.75,2.4285714285714284,2.8181818181818183,2.0
567072,1.75,4.8,3.0,2.5294117647058822
567170,1.1333333333333333,2.5,1.4,2.066666666666667
567272,5.0,2.111111111111111,1.9333333333333333,2.1875
564843,2.8,2.0,3.3,2.75
565038,2.3,1.9285714285714286,2.3684210526315788,2.727272727272727
565617,2.2,4.75,1.9230769230769231,2.8181818181818183
565715,3.3333333333333335,2.769230769230769,2.2941176470588234,1.8529411764705883
565813,2.8333333333333335,2.7142857142857144,3.875,3.4545454545454546
565907,2.4,3.6,2.1666666666666665,4.25
565999,3.3333333333333335,1.5833333333333333,2.1666666666666665,1.7826086956521738
566386,1.3846153846153846,1.6,1.8421052631578947,1.6818181818181819
566482,3.5,1.0588235294117647,2.4166666666666665,1.7083333333333333
566581,4.666666666666667,1.4285714285714286,3.533333333333333,3.090909090909091
566877,1.8888888888888888,3.5,2.6666666666666665,2.6470588235294117
566973,1.1818181818181819,2.142857142857143,2.2142857142857144,2.2777777777777777
567073,1.7142857142857142,3.4,2.3846153846153846,2.642857142857143
567171,1.1666666666666667,2.5,1.3333333333333333,2.2666666666666666
564844,3.0,1.8888888888888888,3.875,2.727272727272727
565039,1.5833333333333333,2.066666666666667,2.1052631578947367,2.4583333333333335
565618,3.6666666666666665,9.0,2.1818181818181817,3.0
565716,3.2857142857142856,2.3846153846153846,2.05,1.8571428571428572
565814,1.75,3.3333333333333335,3.1,3.0
565908,2.0,2.8333333333333335,1.9285714285714286,3.6
566000,2.7777777777777777,1.6666666666666667,2.375,1.7083333333333333
566387,1.2666666666666666,1.7333333333333334,1.6363636363636365,1.8181818181818181
566483,2.6666666666666665,1.1538461538461537,2.0,1.7826086956521738
566582,4.5,1.5714285714285714,4.416666666666667,3.3
566878,1.75,2.625,2.3846153846153846,2.6842105263157894
566974,1.6666666666666667,2.2857142857142856,3.0,2.2941176470588234
567074,2.142857142857143,2.5714285714285716,2.357142857142857,2.6666666666666665
567172,0.9230769230769231,3.0,1.4615384615384615,2.2
567274,2.857142857142857,1.7272727272727273,1.7894736842105263,2.176470588235294
565040,2.0,1.8888888888888888,2.210526315789474,2.9375
565717,2.75,2.5,2.176470588235294,2.4583333333333335
565909,2.5555555555555554,4.166666666666667,2.0625,4.5
566001,2.7777777777777777,1.125,2.642857142857143,2.8333333333333335
