Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
31.0,Jeremy Pe̱a,27.0,HOU,AL,4.1,69.0,294.0,267.0,40.0,89.0,15.0,1.0,9.0,34.0,14.0,1.0,16.0,43.0,0.333,0.386,0.498,0.884,147.0,0.391,147.0,133.0,5.0,8.0,1.0,2.0,1.0,*6/DH,
32.0,Seiya Suzuki,30.0,CHC,NL,1.7,66.0,294.0,264.0,37.0,71.0,18.0,2.0,17.0,57.0,2.0,2.0,25.0,77.0,0.269,0.327,0.545,0.872,147.0,0.377,148.0,144.0,6.0,0.0,0.0,5.0,0.0,D79,
33.0,Ozzie Albies#,28.0,ATL,NL,0.7,68.0,293.0,263.0,32.0,60.0,9.0,0.0,6.0,25.0,6.0,1.0,27.0,49.0,0.228,0.304,0.331,0.635,78.0,0.295,79.0,87.0,1.0,2.0,0.0,1.0,0.0,*4,
34.0,Cal Raleigh#,28.0,SEA,AL,3.3,67.0,293.0,248.0,45.0,65.0,11.0,0.0,26.0,53.0,7.0,2.0,41.0,76.0,0.262,0.372,0.621,0.993,185.0,0.419,184.0,154.0,3.0,3.0,0.0,1.0,4.0,*2D/H,
35.0,Pete Crow-Armstrong*,23.0,CHC,NL,4.0,69.0,292.0,273.0,51.0,74.0,16.0,3.0,18.0,57.0,22.0,3.0,13.0,73.0,0.271,0.304,0.549,0.854,141.0,0.382,142.0,150.0,1.0,1.0,3.0,2.0,0.0,*8,
36.0,Isaac Paredes,26.0,HOU,AL,2.2,67.0,292.0,251.0,37.0,64.0,9.0,1.0,15.0,42.0,0.0,1.0,36.0,50.0,0.255,0.353,0.478,0.831,131.0,0.362,134.0,120.0,7.0,3.0,0.0,2.0,0.0,*5/D,
37.0,Vinnie Pasquantino*,27.0,KCR,AL,1.2,69.0,292.0,268.0,28.0,74.0,7.0,1.0,10.0,38.0,0.0,0.0,19.0,47.0,0.276,0.332,0.422,0.754,111.0,0.335,112.0,113.0,2.0,4.0,0.0,1.0,2.0,*3D,
38.0,Brice Turang*,25.0,MIL,NL,2.4,68.0,290.0,252.0,44.0,66.0,8.0,0.0,4.0,26.0,15.0,4.0,33.0,64.0,0.262,0.346,0.341,0.687,96.0,0.331,106.0,86.0,1.0,1.0,1.0,3.0,0.0,*4/H,
39.0,Randy Arozarena,30.0,SEA,AL,2.2,66.0,289.0,245.0,27.0,57.0,14.0,1.0,8.0,28.0,12.0,0.0,33.0,81.0,0.233,0.346,0.396,0.742,118.0,0.342,121.0,97.0,3.0,10.0,0.0,1.0,0.0,*7/D,
40.0,Ian Happ#,30.0,CHC,NL,1.6,61.0,288.0,250.0,43.0,63.0,14.0,0.0,7.0,29.0,3.0,1.0,35.0,64.0,0.252,0.344,0.392,0.736,112.0,0.335,117.0,98.0,4.0,1.0,0.0,2.0,0.0,*7/D,
