Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
160.0,Logan O'Hoppe,25.0,LAA,AL,0.8,42.0,157.0,148.0,18.0,40.0,1.0,0.0,13.0,28.0,0.0,0.0,7.0,52.0,0.27,0.306,0.541,0.846,133.0,0.367,136.0,80.0,2.0,1.0,0.0,1.0,0.0,2/DH,
161.0,Will Smith,30.0,LAD,NL,2.0,40.0,156.0,124.0,16.0,42.0,9.0,0.0,4.0,26.0,2.0,2.0,27.0,29.0,0.339,0.455,0.508,0.963,175.0,0.418,175.0,63.0,1.0,2.0,0.0,3.0,0.0,*2/H,
162.0,Ryan O'Hearn*,31.0,BAL,AL,1.2,39.0,154.0,134.0,19.0,41.0,6.0,0.0,7.0,16.0,1.0,1.0,18.0,27.0,0.306,0.396,0.507,0.904,161.0,0.39,162.0,68.0,2.0,2.0,0.0,0.0,0.0,D9/3H,
163.0,Gavin Sheets*,29.0,SDP,NL,0.5,44.0,154.0,142.0,17.0,39.0,7.0,0.0,6.0,23.0,1.0,0.0,9.0,42.0,0.275,0.325,0.451,0.775,117.0,0.339,113.0,64.0,2.0,2.0,0.0,1.0,0.0,D/H37,
164.0,Joey Bart,28.0,PIT,NL,0.4,39.0,153.0,130.0,7.0,34.0,5.0,1.0,1.0,11.0,1.0,0.0,20.0,36.0,0.262,0.373,0.338,0.711,101.0,0.33,104.0,44.0,8.0,3.0,0.0,0.0,0.0,2/HD,
165.0,Santiago Espinal,30.0,CIN,NL,-0.1,42.0,152.0,141.0,12.0,38.0,7.0,0.0,0.0,10.0,2.0,1.0,11.0,15.0,0.27,0.322,0.319,0.642,76.0,0.287,69.0,45.0,4.0,0.0,0.0,0.0,0.0,54/796H,
166.0,Pavin Smith*,29.0,ARI,NL,0.8,46.0,152.0,127.0,22.0,37.0,12.0,0.0,4.0,11.0,1.0,1.0,25.0,46.0,0.291,0.408,0.48,0.888,147.0,0.396,153.0,61.0,5.0,0.0,0.0,0.0,0.0,D3/H,
167.0,Jordan Walker,23.0,STL,NL,-0.5,41.0,152.0,139.0,14.0,27.0,3.0,0.0,3.0,17.0,3.0,2.0,10.0,48.0,0.194,0.257,0.281,0.537,51.0,0.253,53.0,39.0,3.0,2.0,0.0,1.0,0.0,*9/H,
168.0,Ryan Jeffers,28.0,MIN,AL,0.8,38.0,151.0,132.0,13.0,36.0,9.0,0.0,3.0,18.0,0.0,0.0,16.0,28.0,0.273,0.364,0.409,0.773,117.0,0.342,116.0,54.0,4.0,3.0,0.0,0.0,1.0,2/DH,
169.0,Adam Frazier*,33.0,PIT,NL,0.3,46.0,150.0,136.0,11.0,31.0,5.0,0.0,2.0,11.0,4.0,2.0,11.0,24.0,0.228,0.293,0.309,0.602,69.0,0.278,68.0,42.0,4.0,2.0,0.0,1.0,1.0,*4/H79,
