game_pk,home_batting_bb_per_g_rolling_10,away_batting_bb_per_g_rolling_10
777826,3.5,2.8
777827,2.4,2.4
777830,1.7,2.8
777819,3.6,1.7
777829,3.7,2.9
777831,2.9,3.4
777835,4.8,3.2
777837,3.1,3.0
777823,2.9,3.2
777828,2.6,3.5
777824,4.1,3.1
777818,4.5,2.8
777816,3.1,2.6
777817,3.0,3.3
777812,3.0,3.2
777821,2.7,2.9
777814,3.2,3.6
777820,2.6,3.4
777822,2.5,3.2
777815,2.7,2.5
777815,2.7,2.2
777815,3.4,2.5
777815,3.4,2.2
777811,1.8,3.2
777806,3.5,3.6
777801,2.7,4.2
777810,2.4,3.3
777807,2.7,3.2
777808,3.6,4.0
777813,3.2,2.5
777805,1.7,2.8
777800,2.4,3.4
777799,3.8,1.6
777797,2.0,3.1
777802,3.0,4.2
777798,3.4,3.1
777804,3.7,3.5
777815,2.7,2.5
777815,2.7,2.2
777815,3.4,2.5
777815,3.4,2.2
777809,3.7,2.3
777809,3.7,2.6
777809,3.8,2.3
777809,3.8,2.6
777809,3.7,2.3
777809,3.7,2.6
777809,3.8,2.3
777809,3.8,2.6
777790,3.9,3.0
777788,3.5,1.6
777786,2.1,3.1
777793,2.8,4.4
777794,3.6,3.7
777791,2.1,3.4
777787,2.4,3.6
777803,3.3,2.6
777792,1.7,2.9
777782,2.9,4.1
777795,2.4,3.8
777796,2.6,2.9
777789,4.3,4.5
777784,3.9,3.2
777781,3.0,3.1
777780,2.8,2.7
777785,3.7,3.2
777778,2.6,4.5
777776,3.2,3.6
777779,2.5,3.3
777775,2.2,3.8
777774,2.2,3.9
777772,3.2,1.7
777777,2.3,2.9
777766,2.0,3.1
777768,2.7,4.0
777765,4.6,3.5
777767,3.0,3.5
777783,3.4,2.8
777773,4.4,4.5
777770,3.1,4.1
777764,3.7,3.4
777757,3.5,2.9
777771,3.4,1.8
777759,2.6,3.8
777760,1.7,2.7
777758,4.2,2.1
777769,2.4,4.3
777762,2.4,2.9
777761,2.8,3.4
777756,2.0,3.3
777763,3.1,4.1
777753,2.4,4.3
777754,3.4,1.7
777755,3.1,3.7
777748,3.5,3.4
777746,2.4,2.6
777749,4.1,2.7
777750,1.4,2.7
777747,4.0,4.0
777751,3.7,2.7
777741,2.6,4.0
777752,2.4,4.5
777745,3.0,4.2
777744,2.6,3.1
777743,3.8,2.4
777742,2.0,3.4
777739,2.6,4.3
777738,3.0,3.3
777732,2.6,2.6
777737,3.6,3.2
777736,4.1,3.8
777734,2.1,4.3
777729,2.5,3.4
777726,2.3,3.0
777740,3.3,1.8
777733,1.5,3.1
777731,3.9,2.5
777724,2.7,4.5
777728,2.5,4.0
777730,3.9,2.3
777735,3.4,3.5
777735,3.4,4.2
777735,3.7,3.5
777735,3.7,4.2
777723,3.4,3.9
777727,4.3,4.3
777725,2.1,2.7
777722,3.6,2.4
777735,3.4,3.5
777735,3.4,4.2
777735,3.7,3.5
777735,3.7,4.2
777712,3.1,3.2
777720,3.3,3.7
777715,3.9,4.2
777716,4.4,4.0
777721,2.6,2.1
777718,3.8,2.1
777717,3.1,3.2
777719,4.2,4.0
777709,2.4,2.3
777711,1.7,2.9
777714,1.7,3.1
777710,2.2,2.3
777707,2.7,3.6
777713,3.4,2.6
777708,4.0,4.1
777704,3.2,3.4
777701,5.3,3.9
777697,2.5,2.4
777699,3.2,3.7
777702,3.8,4.1
777703,3.1,2.5
777694,2.0,3.0
777700,3.5,2.2
777693,1.7,3.1
777706,3.8,4.0
777705,3.5,3.1
777695,3.2,2.8
777698,3.8,3.7
777691,2.7,3.7
777696,2.1,2.6
777678,2.5,2.6
777692,3.9,3.2
777684,3.2,4.1
777688,3.3,3.7
777685,5.2,4.4
777683,3.2,2.6
777686,3.6,2.3
777689,3.7,3.2
777677,1.8,3.2
777690,1.7,3.1
777687,3.3,3.2
777679,2.1,2.9
777680,3.1,2.5
777681,2.9,3.5
777682,4.3,3.8
777673,3.9,2.0
777670,2.7,2.6
777671,3.4,3.6
777674,4.1,2.9
777676,3.3,3.3
777669,4.1,2.2
777675,3.8,3.5
777663,3.5,1.8
777666,3.7,1.8
777659,2.8,3.4
777664,4.2,3.4
777665,4.6,3.4
777667,2.7,2.5
777668,3.3,3.6
777672,3.8,2.2
777662,3.0,2.8
777661,4.1,3.1
777660,2.6,1.8
777655,2.7,3.0
777656,3.3,2.9
777658,3.7,2.4
777657,4.1,3.4
777652,3.5,1.7
777647,3.3,3.3
777649,3.1,2.5
777648,2.9,1.7
777650,2.5,3.7
777653,4.4,3.1
777651,4.4,3.7
777654,3.6,2.5
777646,3.0,2.7
777639,4.4,3.3
777645,2.4,2.7
777641,3.0,3.3
777643,3.8,2.8
777638,3.8,3.0
777642,3.0,2.0
777642,3.0,2.1
777642,2.9,2.0
777642,2.9,2.1
777640,3.8,3.0
777642,3.0,2.0
777642,3.0,2.1
777642,2.9,2.0
777642,2.9,2.1
777635,3.0,1.9
777634,3.8,3.0
777637,3.9,3.3
777636,3.3,2.9
777628,2.2,2.7
777633,3.0,3.1
777631,3.7,2.9
777630,2.6,1.7
777632,2.3,3.5
777644,4.3,2.9
777629,3.1,2.5
777623,3.3,3.5
777623,3.3,3.5
777623,3.4,3.5
777623,3.4,3.5
777625,2.9,2.8
777621,2.9,3.2
777624,2.4,2.5
777627,4.1,3.5
777623,3.3,3.5
777623,3.3,3.5
777623,3.4,3.5
777623,3.4,3.5
777626,3.0,3.7
777622,2.9,1.9
777618,4.3,2.1
777615,3.1,4.0
777617,3.5,3.2
777620,3.3,3.7
777616,1.7,3.6
777614,2.8,1.7
777613,3.7,2.3
777619,3.2,4.0
777609,2.7,3.2
777600,3.5,3.7
777601,3.4,2.9
777610,2.4,2.2
777607,2.9,2.8
777598,3.2,4.3
777612,3.5,3.2
777608,3.0,2.1
777606,4.3,2.1
777611,3.1,2.7
777605,4.1,3.8
777597,3.6,3.0
777603,2.6,1.9
777604,1.6,3.7
777599,3.8,2.6
