game_pk,home_pitching_qs_rate_rolling_10,away_pitching_qs_rate_rolling_10
777626,0.7,0.8
777627,0.6,0.5
777597,0.7,0.5
777598,0.8,0.6
777599,0.1,0.7
777600,0.4,0.5
777601,0.4,0.3
777603,0.4,0.4
777604,0.6,0.6
777605,0.6,0.5
777606,0.5,0.3
777607,0.5,0.4
777608,0.3,0.8
777609,0.7,0.9
777610,0.5,0.7
777611,1.0,0.6
777612,0.7,0.5
777582,0.4,0.4
777583,0.5,0.7
777585,0.3,0.4
777586,0.7,0.6
777587,0.8,0.6
777588,0.1,0.6
777589,0.4,0.3
777590,0.6,0.3
777591,0.3,0.8
777592,0.9,0.5
777593,0.5,0.4
777594,0.6,0.9
777595,0.6,0.4
777596,0.6,0.7
777602,0.8,0.4
777574,0.7,0.6
777575,0.7,0.6
777576,0.4,0.2
777577,0.4,0.4
777578,0.5,0.8
777579,0.7,0.5
777580,0.4,0.8
777581,0.3,0.3
777584,0.4,0.9
777557,0.4,0.7
777558,0.3,0.2
777559,0.4,0.4
777560,0.6,0.5
777563,0.4,0.8
777564,0.3,0.2
777565,0.3,0.8
777566,0.7,0.6
777567,0.8,0.6
777568,0.7,0.7
777569,0.4,0.7
777570,0.7,0.6
777571,0.6,0.8
777572,0.3,0.4
777573,0.6,0.6
777542,0.3,0.3
777543,0.7,0.4
777545,0.3,0.2
777547,0.3,0.7
777548,0.5,0.4
777549,0.5,0.7
777550,0.8,0.6
777551,0.2,0.4
777552,0.7,0.6
777553,0.6,0.8
777554,0.7,0.7
777555,0.6,0.5
777556,0.4,0.6
777561,0.3,0.8
777562,0.6,0.7
777532,0.7,0.2
777533,0.5,0.5
777534,0.3,0.6
777536,0.2,0.5
777540,0.6,0.6
777541,0.7,0.7
777544,0.6,0.5
777546,0.8,0.6
777520,0.3,0.6
777521,0.6,0.7
777522,0.5,0.5
777524,0.5,0.5
777525,0.7,0.2
777526,0.7,0.8
777527,0.9,0.4
777528,0.6,0.7
777529,0.2,0.3
777530,0.5,0.5
777531,0.7,0.3
777535,0.7,0.3
777537,0.4,0.6
777538,0.6,0.6
777539,0.5,0.3
777506,0.4,0.5
777507,0.3,0.5
777508,0.5,0.6
777509,0.7,0.3
777510,0.9,0.4
777511,0.1,0.3
777512,0.7,0.3
777513,0.7,0.8
777514,0.4,0.5
777515,0.6,0.6
777516,0.4,0.6
777517,0.5,0.6
777518,0.5,0.7
777519,0.5,0.4
777523,0.6,0.3
777491,0.5,0.5
777492,0.7,0.3
777493,0.5,0.6
777494,0.9,0.4
777495,0.4,0.4
777496,0.1,0.4
777497,0.7,0.8
777498,0.3,0.4
777499,0.7,0.4
777500,0.5,0.6
777501,0.4,0.4
777502,0.5,0.6
777503,0.5,0.6
777504,0.7,0.3
777505,0.5,0.6
777483,0.6,0.7
777484,0.6,0.4
777485,0.5,0.9
777486,0.4,0.5
777487,0.7,0.3
777488,0.5,0.3
777490,0.3,0.6
777467,0.7,0.4
777468,0.6,0.2
777469,0.5,0.9
777471,0.4,0.5
777472,0.4,0.3
777473,0.5,0.6
777475,0.6,0.9
777476,0.7,0.4
777477,0.6,0.3
777478,0.5,0.4
777479,0.3,0.4
777480,0.5,0.2
777481,0.5,0.8
777482,0.7,0.7
777489,0.6,0.4
777453,0.6,0.6
777454,0.4,0.4
777456,0.5,0.9
777457,0.4,0.4
777460,0.6,0.3
777461,0.4,0.2
777462,0.2,0.4
777463,0.5,0.4
777465,0.5,0.8
777466,0.8,0.5
