game_pk,home_batting_r_per_g_rolling_5,away_batting_r_per_g_rolling_5,home_batting_r_per_g_rolling_10,away_batting_r_per_g_rolling_10
777957,5.6,7.2,5.3,6.5
777961,4.8,2.2,3.8,2.8
777954,5.0,6.2,4.8,6.5
777958,4.6,5.4,5.3,5.0
777971,6.6,5.8,5.9,5.7
777960,4.8,2.8,5.5,2.5
777951,5.4,5.0,7.0,4.1
777953,4.8,5.4,5.3,5.2
777950,5.2,2.0,5.3,2.1
777959,3.2,2.0,3.0,3.7
777952,3.2,2.6,4.9,3.6
777949,4.2,4.2,3.7,3.4
777948,6.0,3.2,5.0,3.8
777947,8.6,3.8,6.7,3.8
777941,3.6,9.0,4.9,6.2
777939,5.0,4.2,4.9,4.5
777944,4.0,2.0,5.7,2.5
777940,6.2,4.2,7.5,4.1
777945,4.2,2.4,3.5,3.0
777935,6.6,3.0,5.2,3.1
777943,5.8,2.4,4.8,2.1
777942,3.4,2.4,3.3,3.9
777936,3.2,2.0,4.6,3.1
777934,3.8,4.0,3.9,3.5
777931,6.4,4.2,5.1,4.5
777932,9.0,4.6,6.7,4.3
777926,3.6,8.8,4.5,6.9
777930,2.4,4.4,4.7,4.5
777937,7.0,4.6,6.1,4.8
