game_pk,date,home_k_bb_ratio_rolling_5,away_k_bb_ratio_rolling_5,home_k_bb_ratio_rolling_10,away_k_bb_ratio_rolling_10
778170,2025-04-27,1.6666666666666667,5.666666666666667,1.6666666666666667,5.571428571428571
778170,2025-04-27,1.6666666666666667,6.4,1.8,5.666666666666667
778170,2025-04-27,1.6666666666666667,6.4,1.8,5.571428571428571
778170,2025-04-27,1.6666666666666667,6.4,1.6666666666666667,5.666666666666667
778170,2025-04-27,1.6666666666666667,6.4,1.6666666666666667,5.571428571428571
778132,2025-04-28,2.111111111111111,2.25,2.111111111111111,2.25
778137,2025-04-28,1.9090909090909092,1.5,1.9090909090909092,1.5
778138,2025-04-28,3.0,2.3636363636363638,3.0,2.3636363636363638
778139,2025-04-28,2.1666666666666665,3.2857142857142856,2.1666666666666665,3.2857142857142856
778140,2025-04-28,1.8,2.1,1.8,2.1
778141,2025-04-28,2.5555555555555554,1.7272727272727273,2.5555555555555554,1.6923076923076923
778142,2025-04-28,1.6666666666666667,3.7777777777777777,1.6666666666666667,3.7777777777777777
778143,2025-04-28,2.0,3.8333333333333335,2.0,3.8333333333333335
778120,2025-04-29,1.2727272727272727,2.125,1.2727272727272727,2.125
778121,2025-04-29,1.7857142857142858,1.625,1.7857142857142858,1.625
778122,2025-04-29,3.7142857142857144,0.0,3.7142857142857144,0.0
778123,2025-04-29,0.0,1.4166666666666667,0.0,1.4166666666666667
778124,2025-04-29,7.0,2.272727272727273,7.0,2.272727272727273
778125,2025-04-29,3.0,2.8,3.0,3.272727272727273
778126,2025-04-29,4.285714285714286,5.571428571428571,4.285714285714286,4.4
778127,2025-04-29,2.4444444444444446,3.076923076923077,2.4444444444444446,2.933333333333333
778128,2025-04-29,2.25,2.0,2.25,2.066666666666667
778129,2025-04-29,1.4285714285714286,1.5384615384615385,1.4285714285714286,1.5384615384615385
778130,2025-04-29,3.111111111111111,4.857142857142857,3.111111111111111,4.857142857142857
778131,2025-04-29,7.0,4.444444444444445,6.25,5.888888888888889
778133,2025-04-29,0.0,2.375,0.0,2.5
778135,2025-04-29,5.166666666666667,3.125,5.166666666666667,2.25
778102,2025-04-30,2.6666666666666665,3.625,2.6666666666666665,4.0
778104,2025-04-30,3.6666666666666665,1.8333333333333333,3.6666666666666665,1.8333333333333333
778105,2025-04-30,5.285714285714286,2.8181818181818183,3.6363636363636362,2.8181818181818183
778106,2025-04-30,9.666666666666666,2.875,12.666666666666666,2.4166666666666665
778109,2025-04-30,0.0,1.4444444444444444,0.0,1.4444444444444444
778110,2025-04-30,0.0,1.4,0.0,1.4
778111,2025-04-30,2.4444444444444446,0.5,2.4444444444444446,0.5
778112,2025-04-30,2.0,2.4,2.0,2.4
778113,2025-04-30,4.5,0.0,4.5,0.0
778114,2025-04-30,0.0,0.0,0.0,0.0
778115,2025-04-30,2.5555555555555554,1.6666666666666667,2.5555555555555554,1.6666666666666667
778116,2025-04-30,2.2142857142857144,5.0,2.2142857142857144,5.0
778117,2025-04-30,1.0,2.0833333333333335,1.0,2.0833333333333335
778118,2025-04-30,4.125,4.833333333333333,4.125,3.875
778119,2025-04-30,0.0,0.0,0.0,0.0
778134,2025-04-30,3.5555555555555554,1.4444444444444444,3.5555555555555554,1.4444444444444444
778134,2025-04-30,3.5555555555555554,1.4444444444444444,3.5555555555555554,1.8888888888888888
778134,2025-04-30,3.5555555555555554,1.4444444444444444,3.0,1.4444444444444444
778134,2025-04-30,3.5555555555555554,1.4444444444444444,3.0,1.8888888888888888
778134,2025-04-30,3.5555555555555554,2.0,3.5555555555555554,1.4444444444444444
778134,2025-04-30,3.5555555555555554,2.0,3.5555555555555554,1.8888888888888888
778134,2025-04-30,3.5555555555555554,2.0,3.0,1.4444444444444444
778134,2025-04-30,3.5555555555555554,2.0,3.0,1.8888888888888888
778134,2025-04-30,2.8,1.4444444444444444,3.5555555555555554,1.4444444444444444
778134,2025-04-30,2.8,1.4444444444444444,3.5555555555555554,1.8888888888888888
778134,2025-04-30,2.8,1.4444444444444444,3.0,1.4444444444444444
778134,2025-04-30,2.8,1.4444444444444444,3.0,1.8888888888888888
778134,2025-04-30,2.8,2.0,3.5555555555555554,1.4444444444444444
778134,2025-04-30,2.8,2.0,3.5555555555555554,1.8888888888888888
778134,2025-04-30,2.8,2.0,3.0,1.4444444444444444
778134,2025-04-30,2.8,2.0,3.0,1.8888888888888888
778094,2025-05-01,1.6666666666666667,2.1,1.6666666666666667,2.1
778095,2025-05-01,1.7692307692307692,2.75,1.8666666666666667,2.3076923076923075
778096,2025-05-01,2.5555555555555554,1.2,2.0,1.6875
778097,2025-05-01,4.0,2.7777777777777777,4.0,2.4166666666666665
778098,2025-05-01,2.090909090909091,4.0,2.3333333333333335,5.75
778099,2025-05-01,2.0,2.0,2.0,2.0
778100,2025-05-01,16.0,5.666666666666667,9.75,5.666666666666667
778101,2025-05-01,1.2777777777777777,3.2857142857142856,1.5555555555555556,3.2857142857142856
778103,2025-05-01,2.7777777777777777,2.8181818181818183,2.7777777777777777,2.3333333333333335
778107,2025-05-01,2.5,14.0,2.5,14.0
778108,2025-05-01,1.6666666666666667,4.6,1.9285714285714286,4.6
778079,2025-05-02,1.4666666666666666,2.4545454545454546,1.4666666666666666,2.3846153846153846
778080,2025-05-02,1.375,2.3636363636363638,1.375,2.3636363636363638
778081,2025-05-02,4.666666666666667,1.3846153846153846,5.5,1.3846153846153846
778082,2025-05-02,1.6111111111111112,3.0,1.736842105263158,2.5
778083,2025-05-02,2.6,4.285714285714286,2.6,4.285714285714286
778084,2025-05-02,5.4,3.5555555555555554,4.714285714285714,2.769230769230769
778085,2025-05-02,1.6153846153846154,9.5,1.7333333333333334,8.0
778086,2025-05-02,3.75,3.0,4.1,2.0833333333333335
778087,2025-05-02,7.0,1.0714285714285714,7.166666666666667,1.25
778088,2025-05-02,4.142857142857143,2.3636363636363638,3.6666666666666665,2.8333333333333335
778089,2025-05-02,1.1666666666666667,8.5,1.1666666666666667,9.75
778090,2025-05-02,2.2,2.9,2.3636363636363638,3.0
778091,2025-05-02,1.5,0.0,1.5,0.0
778092,2025-05-02,1.411764705882353,3.9,1.411764705882353,3.909090909090909
778093,2025-05-02,2.3333333333333335,3.0,2.5,2.1666666666666665
778064,2025-05-03,2.4,2.0,2.5454545454545454,2.0
778065,2025-05-03,2.0,0.4666666666666667,2.4444444444444446,0.5263157894736842
778066,2025-05-03,1.7777777777777777,8.25,1.7777777777777777,5.714285714285714
778067,2025-05-03,1.0833333333333333,3.6666666666666665,1.0833333333333333,3.4545454545454546
778069,2025-05-03,1.9090909090909092,0.5,2.076923076923077,0.5
778070,2025-05-03,2.5,2.0,2.5,2.0
778071,2025-05-03,1.875,3.5714285714285716,1.875,3.7142857142857144
778072,2025-05-03,4.0,2.9,2.8333333333333335,3.0833333333333335
778073,2025-05-03,5.5,5.5,5.5,3.5714285714285716
778074,2025-05-03,0.0,1.875,0.0,2.75
778075,2025-05-03,4.0,1.625,4.2727272727272725,1.4166666666666667
778076,2025-05-03,5.8,1.3076923076923077,5.5,1.1111111111111112
778077,2025-05-03,5.2,2.5555555555555554,5.4,2.888888888888889
778078,2025-05-03,2.4166666666666665,4.8,3.0833333333333335,4.833333333333333
778048,2025-05-04,4.875,0.9166666666666666,4.545454545454546,1.25
778050,2025-05-04,1.25,2.25,1.5833333333333333,2.2857142857142856
778051,2025-05-04,3.625,0.0,3.4444444444444446,0.0
778052,2025-05-04,5.4,1.0,4.714285714285714,1.0
778053,2025-05-04,0.9375,0.0,1.0625,0.0
778054,2025-05-04,1.9230769230769231,3.4285714285714284,2.9285714285714284,2.3076923076923075
778055,2025-05-04,0.6666666666666666,0.0,0.6666666666666666,0.0
778056,2025-05-04,3.1666666666666665,1.9166666666666667,2.5555555555555554,1.7857142857142858
778057,2025-05-04,2.75,1.4666666666666666,2.1666666666666665,1.9333333333333333
778058,2025-05-04,2.1,5.857142857142857,2.3636363636363638,6.555555555555555
778059,2025-05-04,0.0,6.0,0.0,4.375
778060,2025-05-04,1.6,1.8333333333333333,1.6,1.8333333333333333
778061,2025-05-04,1.8181818181818181,3.8333333333333335,1.8181818181818181,5.0
778062,2025-05-04,1.0,1.7857142857142858,1.0,2.0588235294117645
778063,2025-05-04,2.533333333333333,2.0,2.7777777777777777,1.5714285714285714
778068,2025-05-04,1.7,3.0,1.7333333333333334,3.25
778068,2025-05-04,1.7,3.0,1.7333333333333334,3.0
778068,2025-05-04,1.7,3.0,1.4210526315789473,3.25
778068,2025-05-04,1.7,3.0,1.4210526315789473,3.0
778068,2025-05-04,1.7,3.1818181818181817,1.7333333333333334,3.25
778068,2025-05-04,1.7,3.1818181818181817,1.7333333333333334,3.0
778068,2025-05-04,1.7,3.1818181818181817,1.4210526315789473,3.25
778068,2025-05-04,1.7,3.1818181818181817,1.4210526315789473,3.0
778068,2025-05-04,1.0909090909090908,3.0,1.7333333333333334,3.25
778068,2025-05-04,1.0909090909090908,3.0,1.7333333333333334,3.0
778068,2025-05-04,1.0909090909090908,3.0,1.4210526315789473,3.25
778068,2025-05-04,1.0909090909090908,3.0,1.4210526315789473,3.0
778068,2025-05-04,1.0909090909090908,3.1818181818181817,1.7333333333333334,3.25
778068,2025-05-04,1.0909090909090908,3.1818181818181817,1.7333333333333334,3.0
778068,2025-05-04,1.0909090909090908,3.1818181818181817,1.4210526315789473,3.25
778068,2025-05-04,1.0909090909090908,3.1818181818181817,1.4210526315789473,3.0
778036,2025-05-05,2.8333333333333335,2.25,2.3333333333333335,2.2
778038,2025-05-05,3.5,1.588235294117647,2.5384615384615383,1.631578947368421
778039,2025-05-05,0.0,2.25,0.0,2.2142857142857144
778042,2025-05-05,0.7142857142857143,1.8181818181818181,0.7142857142857143,1.8571428571428572
778043,2025-05-05,6.142857142857143,2.875,5.111111111111111,2.1666666666666665
778044,2025-05-05,2.5,2.7,2.3076923076923075,2.5
778045,2025-05-05,3.076923076923077,4.375,2.736842105263158,4.875
778047,2025-05-05,0.9230769230769231,0.0,1.1176470588235294,0.0
778049,2025-05-05,2.4444444444444446,2.0833333333333335,2.4444444444444446,2.6666666666666665
778024,2025-05-06,1.3333333333333333,3.0,1.6470588235294117,3.0
778025,2025-05-06,1.9166666666666667,0.0,1.9285714285714286,0.0
778026,2025-05-06,3.5,2.8333333333333335,3.0,2.25
778027,2025-05-06,3.8,2.5,3.8,2.4615384615384617
778028,2025-05-06,6.5,1.7,6.5,2.0833333333333335
778030,2025-05-06,8.666666666666666,4.666666666666667,10.0,5.125
778031,2025-05-06,2.857142857142857,6.5,2.5,6.5
778032,2025-05-06,1.8571428571428572,3.5,2.388888888888889,3.3333333333333335
778033,2025-05-06,3.5,1.4166666666666667,2.8333333333333335,1.6666666666666667
778034,2025-05-06,4.25,1.9166666666666667,5.111111111111111,1.9166666666666667
778035,2025-05-06,1.5555555555555556,0.0,1.6,0.0
778037,2025-05-06,3.5,9.666666666666666,3.5,15.333333333333334
778040,2025-05-06,3.7142857142857144,5.571428571428571,4.285714285714286,6.333333333333333
778041,2025-05-06,1.6153846153846154,4.571428571428571,1.6153846153846154,3.8333333333333335
778046,2025-05-06,2.25,2.0,2.2,2.0714285714285716
778046,2025-05-06,2.25,2.0,2.2,2.0
778046,2025-05-06,2.25,2.0,2.3636363636363638,2.0714285714285716
778046,2025-05-06,2.25,2.0,2.3636363636363638,2.0
778046,2025-05-06,2.25,1.7777777777777777,2.2,2.0714285714285716
778046,2025-05-06,2.25,1.7777777777777777,2.2,2.0
778046,2025-05-06,2.25,1.7777777777777777,2.3636363636363638,2.0714285714285716
778046,2025-05-06,2.25,1.7777777777777777,2.3636363636363638,2.0
778046,2025-05-06,3.5,2.0,2.2,2.0714285714285716
778046,2025-05-06,3.5,2.0,2.2,2.0
778046,2025-05-06,3.5,2.0,2.3636363636363638,2.0714285714285716
778046,2025-05-06,3.5,2.0,2.3636363636363638,2.0
778046,2025-05-06,3.5,1.7777777777777777,2.2,2.0714285714285716
778046,2025-05-06,3.5,1.7777777777777777,2.2,2.0
778046,2025-05-06,3.5,1.7777777777777777,2.3636363636363638,2.0714285714285716
778046,2025-05-06,3.5,1.7777777777777777,2.3636363636363638,2.0
