date,n_games,auc,log_loss,brier,n_bets,pnl_units,roi_per_bet
2025-09-18,10,0.8095238095238095,0.8012890960010273,0.3018602335974623,1,1.53,1.53
2025-09-19,15,0.24074074074074076,0.7168943723214142,0.26138112055974233,8,-5.61,-0.70125
2025-09-20,15,0.4107142857142857,0.7321700195519085,0.268916554746075,10,0.78,0.078
2025-09-21,15,0.5357142857142857,0.6942772002224502,0.25068144655056807,12,0.5200000000000002,0.043333333333333356
2025-09-22,3,,0.5449114796137099,0.17664378138432882,3,4.3345794392523365,1.4448598130841122
2025-09-23,15,0.1851851851851852,0.763692845456729,0.2846005977462924,10,-0.029999999999999805,-0.0029999999999999805
2025-09-24,14,0.24242424242424243,0.6857310070653074,0.2464207275302572,12,10.860000000000001,0.9050000000000001
2025-09-25,11,0.4444444444444444,0.6406573151349583,0.2244943845520954,9,7.950000000000001,0.8833333333333334
2025-09-26,15,0.11363636363636363,0.7176715090240413,0.26176510674961423,13,9.260000000000002,0.7123076923076924
2025-09-27,15,0.27999999999999997,0.6923056328755144,0.24931958785306785,13,6.57,0.5053846153846154
2025-09-28,15,0.5,0.6401411449341735,0.2237970519927449,14,11.910392156862745,0.8507422969187675
