id,game_pk,season,date,postseason,season_type,status,venue,conference_play,home_team_id,away_team_id,home_team_slug,away_team_slug,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_short_display_name,away_team_short_display_name,home_team_name,away_team_name,home_team_location,away_team_location,home_team_league,away_team_league,home_team_division,away_team_division,home_team_score,away_team_score,favorite_id,underdog_id,favorite_abbreviation,underdog_abbreviation,favorite_display_name,underdog_display_name
3218,778498,2025,2025-04-01,False,regular,STATUS_FINAL,Great American Ball Park,False,7,28,cincinnati-reds,texas-rangers,CIN,TEX,Cincinnati Reds,Texas Rangers,Reds,Rangers,Reds,Rangers,Cincinnati,Texas,National,American,Central,West,0,1,,,,,,
3219,778491,2025,2025-04-01,False,regular,STATUS_FINAL,Rogers Centre,False,29,30,toronto-blue-jays,washington-nationals,TOR,WSH,Toronto Blue Jays,Washington Nationals,Blue Jays,Nationals,Blue Jays,Nationals,Toronto,Washington,American,National,East,East,5,3,,,,,,
3220,778495,2025,2025-04-01,False,regular,STATUS_FINAL,Busch Stadium,False,26,13,st-louis-cardinals,los-angeles-angels,STL,LAA,St. Louis Cardinals,Los Angeles Angels,Cardinals,Angels,Cardinals,Angels,St. Louis,Los Angeles,National,American,Central,West,7,9,,,,,,
3221,778488,2025,2025-04-01,False,regular,STATUS_FINAL,American Family Field,False,16,12,milwaukee-brewers,kansas-city-royals,MIL,KC,Milwaukee Brewers,Kansas City Royals,Brewers,Royals,Brewers,Royals,Milwaukee,Kansas City,National,American,Central,Central,5,0,,,,,,
3222,778490,2025,2025-04-01,False,regular,STATUS_FINAL,Rate Field,False,6,17,chicago-white-sox,minnesota-twins,CWS,MIN,Chicago White Sox,Minnesota Twins,White Sox,Twins,White Sox,Twins,Chicago,Minnesota,American,American,Central,Central,3,8,,,,,,
3223,778489,2025,2025-04-01,False,regular,STATUS_FINAL,Daikin Park,False,11,24,houston-astros,san-francisco-giants,HOU,SF,Houston Astros,San Francisco Giants,Astros,Giants,Astros,Giants,Houston,San Francisco,American,National,West,West,1,3,,,,,,
3224,778487,2025,2025-04-01,False,regular,STATUS_FINAL,Dodger Stadium,False,14,2,los-angeles-dodgers,atlanta-braves,LAD,ATL,Los Angeles Dodgers,Atlanta Braves,Dodgers,Braves,Dodgers,Braves,Los Angeles,Atlanta,National,National,West,East,3,1,,,,,,
3226,778485,2025,2025-04-01,False,regular,STATUS_FINAL,Petco Park,False,23,8,san-diego-padres,cleveland-guardians,SD,CLE,San Diego Padres,Cleveland Guardians,Padres,Guardians,Padres,Guardians,San Diego,Cleveland,National,American,West,Central,7,0,,,,,,
3227,778486,2025,2025-04-01,False,regular,STATUS_FINAL,T-Mobile Park,False,25,10,seattle-mariners,detroit-tigers,SEA,DET,Seattle Mariners,Detroit Tigers,Mariners,Tigers,Mariners,Tigers,Seattle,Detroit,American,American,West,Central,1,4,,,,,,
63876,778494,2025,2025-04-01,False,regular,STATUS_FINAL,Sutter Health Park,False,20,5,oakland-athletics,chicago-cubs,ATH,CHC,Oakland Athletics,Chicago Cubs,Athletics,Cubs,Athletics,Cubs,Oakland,Chicago,American,National,West,Central,4,7,,,,,,
